frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
350,1,2086.567305581608 1392.9873185489132 2709.2391710788133 1938.1001754303256,2287.27880859375 1709.1895751953125 2537.61181640625 1817.6356201171875,0.5576034784317017,AP05JED,0.21287668468806656
351,1,2081.510368693637 1396.5151405774918 2707.4415202710784 1941.5973892830489,2296.35595703125 1716.31640625 2525.614990234375 1823.7279052734375,0,0,0
352,1,2076.453431805666 1400.0429626060707 2705.6438694633434 1945.0946031357723,2305.43310546875 1723.4432373046875 2513.6181640625 1829.8201904296875,0.3450106680393219,AP05JEU,0.12779841293244895
353,1,2082.7444005440993 1404.726887161612 2711.8830514757665 1949.397679567097,2305.59716796875 1721.8134765625 2546.81591796875 1831.580078125,0.5448716282844543,AP05JEO,0.24807151301944466
354,1,2086.3598481191057 1408.0827998396924 2716.442998083661 1953.7296292466679,2321.94287109375 1732.4827880859375 2555.7685546875 1835.9366455078125,0.3219994008541107,AP05JEO,0.2906762945790043
355,1,2087.7019919698346 1409.0924191608024 2718.4936362092326 1955.4598507343421,2322.153076171875 1732.4769287109375 2555.69677734375 1835.9168701171875,0.3218255937099457,AP05JEO,0.5515378663957662
356,1,2086.185460463351 1410.6054548031586 2721.2667811585507 1958.755044396358,2283.915771484375 1735.177001953125 2557.74560546875 1845.470947265625,0.44591665267944336,AP05JEO,0.3838573045687515
357,1,2090.5916209414295 1412.7604867949885 2726.9607337924613 1961.9764945727043,2281.53662109375 1743.626953125 2552.051513671875 1845.345703125,0.36798474192619324,AP05JEO,0.28691437403029757
358,1,2089.4230177003687 1416.1840809100372 2729.8403390143785 1966.5221721897688,2285.5755615234375 1750.8218994140625 2555.0628662109375 1855.0458984375,0,0,0
359,1,2088.254414459308 1419.6076750250859 2732.7199442362958 1971.0678498068332,2289.614501953125 1758.016845703125 2558.07421875 1864.74609375,0.45913973450660706,AP05JEO,0.25395624401763156
360,1,2089.9624070685295 1422.1652246125902 2733.3059229760856 1976.5205378818102,2304.3037109375 1757.7989501953125 2547.37890625 1848.7503662109375,0.5547173619270325,AP05JEO,0.12581556664168955
361,1,2090.9640985666374 1422.5467356111535 2733.4794585239497 1979.019310698257,2305.37939453125 1757.71240234375 2547.43603515625 1848.4462890625,0.5554742813110352,AP05JEO,0.26190268816312545
362,1,2093.57110836716 1425.770680920897 2735.1681567899454 1984.672461433354,2312.58544921875 1761.7152099609375 2562.8291015625 1858.1971435546875,0.30865341424942017,AP05JEO,0.40646160061937664
363,1,2095.433827848411 1425.5486216243 2740.3289111029417 1986.1261096446335,2296.204833984375 1764.826904296875 2561.748779296875 1867.070068359375,0.5540089011192322,AP05JEO,0.4359721587216071
364,1,2091.551270568718 1427.159484274196 2741.5047156765822 1989.5134476004782,2287.33251953125 1768.30224609375 2551.2294921875 1863.08642578125,0.4596419930458069,AP05JEO,0.275246572907229
365,1,2088.3796999067818 1429.9190401409446 2744.5955547108665 1992.6931178975692,2293.877197265625 1770.8619384765625 2554.7041015625 1872.3265380859375,0,0,0
366,1,2085.2081292448456 1432.678596007693 2747.686393745151 1995.87278819466,2300.421875 1773.421630859375 2558.1787109375 1881.566650390625,0.42671483755111694,AP05JEO,0.3550091242269228
367,1,2083.014202632961 1433.5648376528866 2751.3090025917822 1997.0292904372982,2300.369140625 1773.3614501953125 2558.51123046875 1881.5745849609375,0.42825230956077576,AP05JEO,0.3550091242269228
