frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
249,6.0,[860.9209659052424 1566.3808874452814 1646.620774525699 2151.140905737033],[1139.961181640625 1947.424072265625 1347.4141845703125 2042.33642578125],0.2965754568576813,GX15OGJ,0.15472206108603934
250,6.0,[860.3064755007485 1570.9826019250115 1647.1489915289894 2152.226157521367],[1127.7177734375 1954.666259765625 1345.915771484375 2051.088134765625],0.25706177949905396,GY15OGJ,0.3047299992446067
255,1.0,[2050.884071281014 1187.259506445438 2596.7862932890625 1656.6928680375495],[2242.9794921875 1470.1395263671875 2458.796875 1559.7747802734375],0.3482590913772583,AP05JEO,0.4455318265366878
256,6.0,[845.027273008403 1598.9128871283988 1641.6100249363062 2151.2826454834044],[1119.565673828125 1982.090576171875 1332.95654296875 2079.309326171875],0.3686775863170624,GX15OGJ,0.4252459798747336
257,6.0,[841.0899634283282 1603.996488239827 1640.466701830263 2151.321008724696],[1126.182373046875 1988.6480712890625 1338.49755859375 2086.94921875],0.3141908645629883,GX15OGJ,0.328256015841244
258,1.0,[2051.4604279777354 1193.1162064690648 2596.742877554341 1666.1379457636353],[2243.468994140625 1473.671630859375 2439.24169921875 1556.748779296875],0.3382812738418579,AP05JEO,0.24850293459196085
259,1.0,[2051.040829411689 1193.9086550571658 2596.7902846418087 1667.5580891767834],[2243.628173828125 1473.70751953125 2439.24267578125 1556.754638671875],0.3388725221157074,AP05JEO,0.24850293459196085
260,6.0,[835.1956562584644 1610.0619486494415 1641.1185057014893 2147.9137434034],[1111.8519287109375 1999.0052490234375 1328.7059326171875 2100.708984375],0.4440103769302368,GY15OGJ,0.3638792741622957
262,13.0,[2243.2557467307815 1633.1488618116155 2982.7370607763924 2145.5538009787965],[2541.65625 2011.49169921875 2728.39697265625 2098.611572265625],0.27981409430503845,LM13VCV,0.5166960799031878
263,6.0,[829.3588452042552 1623.7736530661348 1637.4688402403383 2151.071649996833],[1094.3388671875 2018.9501953125 1330.162841796875 2122.12646484375],0.4262140691280365,GX15OGJ,0.39982310297611173
